Period,GDP_YoY%,CPI_YoY%,Combined_Regime
2000-03-31,0.0426,1.96,4
2000-04-30,0.0426,1.71,4
2000-05-31,0.0426,1.76,4
2000-06-30,0.0467,2.14,4
2000-07-31,0.0467,2.09,4
2000-08-31,0.0467,2.05,4
2000-09-30,0.0392,2.4,4
2000-10-31,0.0392,2.38,4
2000-11-30,0.0392,2.46,4
2000-12-31,0.0333,2.49,4
2001-01-31,0.0333,2.0,4
2001-02-28,0.0333,1.98,4
2001-03-31,0.0512,2.21,4
2001-04-30,0.0512,2.72,4
2001-05-31,0.0512,3.09,4
2001-06-30,0.0426,2.85,4
2001-07-31,0.0426,2.48,4
2001-08-31,0.0426,2.32,4
2001-09-30,0.038,2.2,4
2001-10-31,0.038,2.25,4
2001-11-30,0.038,1.97,4
2001-12-31,0.0327,2.05,4
2002-01-31,0.0327,2.61,4
2002-02-28,0.0327,2.47,3
2002-03-31,0.0035,2.51,3
2002-04-30,0.0035,2.35,3
2002-05-31,0.0035,2.06,3
2002-06-30,0.0079,1.87,3
2002-07-31,0.0079,2.0,3
2002-08-31,0.0079,2.14,3
2002-09-30,0.0104,2.12,3
2002-10-31,0.0104,2.29,3
2002-11-30,0.0104,2.28,3
2002-12-31,0.0128,2.32,3
2003-01-31,0.0128,2.12,3
2003-02-28,0.0128,2.36,3
2003-03-31,0.0081,2.36,3
2003-04-30,0.0081,2.07,3
2003-05-31,0.0081,1.81,3
2003-06-30,0.0033,1.98,3
2003-07-31,0.0033,1.93,3
2003-08-31,0.0033,2.02,3
2003-09-30,0.0051,2.13,3
2003-10-31,0.0051,2.04,3
2003-11-30,0.0051,2.16,3
2003-12-31,0.0095,1.98,3
2004-01-31,0.0095,1.81,3
2004-02-29,0.0095,1.64,3
2004-03-31,0.018,1.7,3
2004-04-30,0.018,2.06,3
2004-05-31,0.018,2.45,3
2004-06-30,0.0241,2.38,3
2004-07-31,0.0241,2.3,3
2004-08-31,0.0241,2.36,3
2004-09-30,0.02,2.11,3
2004-10-31,0.02,2.36,3
2004-11-30,0.02,2.24,3
2004-12-31,0.0178,2.32,3
2005-01-31,0.0178,1.92,3
2005-02-28,0.0178,2.05,3
2005-03-31,0.0146,2.17,3
2005-04-30,0.0146,2.08,3
2005-05-31,0.0146,1.97,3
2005-06-30,0.0148,2.03,3
2005-07-31,0.0148,2.14,3
2005-08-31,0.0148,2.18,3
2005-09-30,0.0202,2.59,3
2005-10-31,0.0202,2.45,3
2005-11-30,0.0202,2.3,3
2005-12-31,0.0228,2.25,3
2006-01-31,0.0228,2.44,3
2006-02-28,0.0228,2.36,3
2006-03-31,0.0297,2.18,3
2006-04-30,0.0297,2.43,3
2006-05-31,0.0297,2.49,3
2006-06-30,0.0344,2.46,3
2006-07-31,0.0344,2.44,3
2006-08-31,0.0344,2.29,4
2006-09-30,0.0324,1.77,4
2006-10-31,0.0324,1.59,4
2006-11-30,0.0324,1.85,4
2006-12-31,0.0372,1.9,4
2007-01-31,0.0372,1.84,4
2007-02-28,0.0372,1.85,4
2007-03-31,0.0383,1.93,4
2007-04-30,0.0383,1.9,4
2007-05-31,0.0383,1.88,4
2007-06-30,0.0342,1.9,4
2007-07-31,0.0342,1.77,4
2007-08-31,0.0342,1.75,4
2007-09-30,0.0322,2.13,3
2007-10-31,0.0322,2.54,3
2007-11-30,0.0322,3.06,3
2007-12-31,0.026,3.07,3
2008-01-31,0.026,3.2,3
2008-02-29,0.026,3.27,3
2008-03-31,0.0241,3.59,3
2008-04-30,0.0241,3.26,3
2008-05-31,0.0241,3.66,3
2008-06-30,0.0127,3.95,3
