Period,GDP_YoY%,CPI_YoY%,Combined_Regime
2000-03-31,0.042199999999999994,3.76,4
2000-04-30,0.042199999999999994,3.07,4
2000-05-31,0.042199999999999994,3.19,4
2000-06-30,0.0524,3.73,4
2000-07-31,0.0524,3.66,4
2000-08-31,0.0524,3.41,4
2000-09-30,0.0397,3.45,4
2000-10-31,0.0397,3.45,4
2000-11-30,0.0397,3.45,3
2000-12-31,0.0291,3.39,3
2001-01-31,0.0291,3.73,3
2001-02-28,0.0291,3.53,3
2001-03-31,0.022000000000000002,2.92,3
2001-04-30,0.022000000000000002,3.27,3
2001-05-31,0.022000000000000002,3.62,3
2001-06-30,0.01,3.25,3
2001-07-31,0.01,2.72,4
2001-08-31,0.01,2.72,2
2001-09-30,0.0049,2.65,2
2001-10-31,0.0049,2.13,2
2001-11-30,0.0049,1.9,2
2001-12-31,0.0017000000000000001,1.55,2
2002-01-31,0.0017000000000000001,1.14,2
2002-02-28,0.0017000000000000001,1.14,2
2002-03-31,0.0134,1.48,2
2002-04-30,0.0134,1.64,1
2002-05-31,0.0134,1.18,1
2002-06-30,0.013300000000000001,1.07,1
2002-07-31,0.013300000000000001,1.46,1
2002-08-31,0.013300000000000001,1.8,1
2002-09-30,0.0215,1.51,1
2002-10-31,0.0215,2.03,1
2002-11-30,0.0215,2.2,1
2002-12-31,0.0199,2.38,1
2003-01-31,0.0199,2.6,1
2003-02-28,0.0199,2.98,1
2003-03-31,0.0168,3.02,1
2003-04-30,0.0168,2.22,1
2003-05-31,0.0168,2.06,1
2003-06-30,0.0196,2.11,1
2003-07-31,0.0196,2.11,1
2003-08-31,0.0196,2.16,1
2003-09-30,0.0323,2.32,1
2003-10-31,0.0323,2.04,1
2003-11-30,0.0323,1.77,1
2003-12-31,0.043,1.88,2
2004-01-31,0.043,1.93,2
2004-02-29,0.043,1.69,2
2004-03-31,0.0434,1.74,2
2004-04-30,0.0434,2.29,2
2004-05-31,0.0434,3.05,2
2004-06-30,0.042300000000000004,3.27,2
2004-07-31,0.042300000000000004,2.99,4
2004-08-31,0.042300000000000004,2.65,4
2004-09-30,0.0349,2.54,3
2004-10-31,0.0349,3.19,3
2004-11-30,0.0349,3.52,3
2004-12-31,0.0335,3.26,3
2005-01-31,0.0335,2.97,3
2005-02-28,0.0335,3.01,3
2005-03-31,0.0391,3.15,3
2005-04-30,0.0391,3.51,3
2005-05-31,0.0391,2.8,3
2005-06-30,0.0362,2.53,3
2005-07-31,0.0362,3.17,3
2005-08-31,0.0362,3.64,3
2005-09-30,0.0345,4.69,3
2005-10-31,0.0345,4.35,3
2005-11-30,0.0345,3.46,3
2005-12-31,0.0297,3.42,3
2006-01-31,0.0297,3.99,3
2006-02-28,0.0297,3.6,3
2006-03-31,0.0321,3.36,3
2006-04-30,0.0321,3.55,3
2006-05-31,0.0321,4.17,3
2006-06-30,0.0297,4.32,3
2006-07-31,0.0297,4.15,3
2006-08-31,0.0297,3.82,3
2006-09-30,0.0233,2.06,1
2006-10-31,0.0233,1.31,1
2006-11-30,0.0233,1.97,1
2006-12-31,0.0263,2.54,1
2007-01-31,0.0263,2.08,1
2007-02-28,0.0263,2.42,1
2007-03-31,0.0158,2.78,1
2007-04-30,0.0158,2.57,1
2007-05-31,0.0158,2.69,1
2007-06-30,0.019299999999999998,2.69,1
2007-07-31,0.019299999999999998,2.36,1
2007-08-31,0.019299999999999998,1.97,1
2007-09-30,0.023700000000000002,2.76,1
2007-10-31,0.023700000000000002,3.54,3
2007-11-30,0.023700000000000002,4.31,3
2007-12-31,0.0213,4.08,3
2008-01-31,0.0213,4.28,3
2008-02-29,0.0213,4.03,3
2008-03-31,0.0139,3.98,3
2008-04-30,0.0139,3.94,3
2008-05-31,0.0139,4.18,3
2008-06-30,0.0138,5.02,3
2008-07-31,0.0138,5.6,3
2008-08-31,0.0138,5.37,3
2008-09-30,0.0027,4.94,4
2008-10-31,0.0027,3.66,4
2008-11-30,0.0027,1.07,2
2008-12-31,-0.0254,0.09,2
2009-01-31,-0.0254,0.03,2
2009-02-28,-0.0254,0.24,2
2009-03-31,-0.0323,-0.38,2
