Date;ISIN;Indexvalue
04.01.1999;CH0023524637;17.244
05.01.1999;CH0023524637;18.2709
06.01.1999;CH0023524637;19.3071
07.01.1999;CH0023524637;19.6841
08.01.1999;CH0023524637;19.7748
11.01.1999;CH0023524637;19.9311
12.01.1999;CH0023524637;19.9697
13.01.1999;CH0023524637;20.0724
14.01.1999;CH0023524637;19.9882
15.01.1999;CH0023524637;20.1891
18.01.1999;CH0023524637;20.2483
19.01.1999;CH0023524637;20.1705
20.01.1999;CH0023524637;19.97
21.01.1999;CH0023524637;19.7821
22.01.1999;CH0023524637;19.7586
25.01.1999;CH0023524637;19.8726
26.01.1999;CH0023524637;19.835
27.01.1999;CH0023524637;19.6571
28.01.1999;CH0023524637;19.7516
29.01.1999;CH0023524637;19.9205
01.02.1999;CH0023524637;19.9747
02.02.1999;CH0023524637;19.7044
03.02.1999;CH0023524637;19.6625
04.02.1999;CH0023524637;19.4319
05.02.1999;CH0023524637;19.4222
08.02.1999;CH0023524637;19.3366
09.02.1999;CH0023524637;18.8685
10.02.1999;CH0023524637;18.7829
11.02.1999;CH0023524637;19.9841
12.02.1999;CH0023524637;19.9322
15.02.1999;CH0023524637;19.8788
16.02.1999;CH0023524637;19.7775
17.02.1999;CH0023524637;19.8364
18.02.1999;CH0023524637;19.573
19.02.1999;CH0023524637;19.2642
22.02.1999;CH0023524637;19.392
23.02.1999;CH0023524637;19.4438
24.02.1999;CH0023524637;19.4177
25.02.1999;CH0023524637;19.3529
26.02.1999;CH0023524637;19.319
01.03.1999;CH0023524637;19.1789
02.03.1999;CH0023524637;19.1537
03.03.1999;CH0023524637;19.2246
04.03.1999;CH0023524637;19.3757
05.03.1999;CH0023524637;19.465
08.03.1999;CH0023524637;19.423
09.03.1999;CH0023524637;19.3854
10.03.1999;CH0023524637;19.2808
11.03.1999;CH0023524637;19.282
12.03.1999;CH0023524637;19.2981
15.03.1999;CH0023524637;19.3598
16.03.1999;CH0023524637;18.9783
17.03.1999;CH0023524637;18.9821
18.03.1999;CH0023524637;18.965
19.03.1999;CH0023524637;18.861
22.03.1999;CH0023524637;18.6301
23.03.1999;CH0023524637;18.442
24.03.1999;CH0023524637;18.3109
25.03.1999;CH0023524637;18.5211
26.03.1999;CH0023524637;18.4734
29.03.1999;CH0023524637;18.6424
30.03.1999;CH0023524637;18.5803
31.03.1999;CH0023524637;18.6721
01.04.1999;CH0023524637;18.6438
06.04.1999;CH0023524637;18.6631
07.04.1999;CH0023524637;18.6314
08.04.1999;CH0023524637;18.6005
09.04.1999;CH0023524637;18.5235
12.04.1999;CH0023524637;18.5996
13.04.1999;CH0023524637;18.4502
14.04.1999;CH0023524637;18.4353
15.04.1999;CH0023524637;18.3305
16.04.1999;CH0023524637;18.189
19.04.1999;CH0023524637;18.1709
20.04.1999;CH0023524637;18.0999
21.04.1999;CH0023524637;18.0584
22.04.1999;CH0023524637;18.1489
23.04.1999;CH0023524637;18.1046
26.04.1999;CH0023524637;18.2573
27.04.1999;CH0023524637;18.224
28.04.1999;CH0023524637;18.2772
29.04.1999;CH0023524637;18.313
30.04.1999;CH0023524637;18.2952
03.05.1999;CH0023524637;18.2529
04.05.1999;CH0023524637;18.3082
05.05.1999;CH0023524637;18.3643
06.05.1999;CH0023524637;18.3907
07.05.1999;CH0023524637;18.3993
10.05.1999;CH0023524637;18.539
11.05.1999;CH0023524637;18.5371
12.05.1999;CH0023524637;18.5399
14.05.1999;CH0023524637;18.436
17.05.1999;CH0023524637;18.3444
18.05.1999;CH0023524637;18.5041
19.05.1999;CH0023524637;18.4853
20.05.1999;CH0023524637;18.5334
21.05.1999;CH0023524637;18.4372
25.05.1999;CH0023524637;18.3098
26.05.1999;CH0023524637;18.2808
27.05.1999;CH0023524637;18.0405
28.05.1999;CH0023524637;18.148
31.05.1999;CH0023524637;18.3896
01.06.1999;CH0023524637;18.4282
02.06.1999;CH0023524637;18.6294
03.06.1999;CH0023524637;18.7118
04.06.1999;CH0023524637;18.7814
07.06.1999;CH0023524637;18.9112
08.06.1999;CH0023524637;18.9181
09.06.1999;CH0023524637;18.8737
10.06.1999;CH0023524637;18.8039
11.06.1999;CH0023524637;18.8349
14.06.1999;CH0023524637;18.8291
15.06.1999;CH0023524637;18.7999
16.06.1999;CH0023524637;18.806
17.06.1999;CH0023524637;18.8031
18.06.1999;CH0023524637;18.8059
21.06.1999;CH0023524637;13.7709
22.06.1999;CH0023524637;13.7875
23.06.1999;CH0023524637;13.7659
24.06.1999;CH0023524637;14.9773
25.06.1999;CH0023524637;14.9925
28.06.1999;CH0023524637;14.9774
29.06.1999;CH0023524637;14.9943
30.06.1999;CH0023524637;14.917
01.07.1999;CH0023524637;14.9935
02.07.1999;CH0023524637;14.8797
05.07.1999;CH0023524637;14.5973
06.07.1999;CH0023524637;14.6195
07.07.1999;CH0023524637;14.6455
08.07.1999;CH0023524637;14.6137
09.07.1999;CH0023524637;14.6344
12.07.1999;CH0023524637;14.6653
13.07.1999;CH0023524637;14.6929
14.07.1999;CH0023524637;14.6628
15.07.1999;CH0023524637;14.6698
16.07.1999;CH0023524637;14.7077
19.07.1999;CH0023524637;14.6934
