"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2024","17.94","17.44","18.04","16.90","","6.90%"
"11/11/2024","16.79","16.67","16.89","16.39","","0.06%"
"11/08/2024","16.78","16.56","17.11","16.11","","0.23%"
"11/07/2024","16.74","17.76","17.76","16.52","","-9.46%"
"11/06/2024","18.49","18.78","19.11","16.25","","-6.86%"
"11/05/2024","19.85","21.06","21.06","19.69","","-5.30%"
"11/04/2024","20.96","21.98","22.06","20.82","","-0.64%"
"11/01/2024","21.09","21.36","21.62","20.69","","-2.93%"
"10/31/2024","21.73","20.95","22.17","20.70","","9.03%"
"10/30/2024","19.93","19.28","20.39","19.14","","4.93%"
"10/29/2024","18.99","18.66","19.13","18.50","","1.80%"
"10/28/2024","18.66","19.22","19.43","18.54","","-1.36%"
"10/25/2024","18.92","19.14","19.32","18.62","","-1.33%"
"10/24/2024","19.17","18.62","19.21","18.34","","0.94%"
"10/23/2024","18.99","18.52","19.02","18.45","","2.02%"
"10/22/2024","18.62","18.41","19.49","18.18","","-1.23%"
"10/21/2024","18.85","17.90","18.87","17.65","","9.26%"
"10/18/2024","17.25","17.99","18.07","17.08","","-5.56%"
"10/17/2024","18.27","18.88","18.89","17.69","","-4.93%"
"10/16/2024","19.21","19.14","19.57","18.83","","3.31%"
"10/15/2024","18.60","17.54","18.98","17.51","","5.21%"
"10/14/2024","17.67","18.81","18.89","17.66","","-4.29%"
"10/11/2024","18.47","19.42","19.68","18.32","","-3.77%"
"10/10/2024","19.19","19.61","19.85","19.14","","-0.91%"
"10/09/2024","19.37","20.68","20.80","19.28","","-4.52%"
"10/08/2024","20.28","21.83","22.16","20.28","","0.31%"
"10/07/2024","20.22","20.84","21.16","20.09","","-0.17%"
"10/04/2024","20.25","21.47","21.50","19.66","","-4.55%"
"10/03/2024","21.22","20.54","21.58","20.30","","6.69%"
"10/02/2024","19.89","20.74","21.45","19.76","","-5.75%"
"10/01/2024","21.10","18.15","21.53","17.68","","16.82%"
"09/30/2024","18.06","17.22","18.16","17.20","","13.24%"
"09/27/2024","15.95","16.20","16.32","15.95","","-2.60%"
"09/26/2024","16.38","15.77","16.59","15.67","","1.01%"
"09/25/2024","16.22","16.50","16.52","16.10","","1.22%"
"09/24/2024","16.02","16.01","16.66","15.71","","-2.13%"
"09/23/2024","16.37","17.16","17.22","16.18","","1.13%"
"09/20/2024","16.19","15.54","16.97","15.48","","4.97%"
"09/19/2024","15.42","16.22","16.22","15.38","","-9.62%"
"09/18/2024","17.06","16.75","17.47","16.61","","2.90%"
"09/17/2024","16.58","16.82","16.89","16.34","","-3.13%"
"09/16/2024","17.12","16.92","17.27","16.34","","6.62%"
"09/13/2024","16.05","16.92","17.06","15.99","","-8.45%"
"09/12/2024","17.53","17.90","18.59","17.36","","-10.54%"
"09/11/2024","19.60","19.08","20.38","18.25","","0.28%"
"09/10/2024","19.54","19.70","20.11","18.91","","-3.39%"
"09/09/2024","20.23","22.37","22.37","19.72","","-10.43%"
"09/06/2024","22.58","21.07","22.59","17.95","","12.64%"
"09/05/2024","20.05","20.24","20.82","19.21","","0.92%"
"09/04/2024","19.87","19.48","21.11","19.09","","14.59%"
"09/03/2024","17.34","15.49","17.63","15.19","","12.48%"
"09/02/2024","15.41","15.90","16.49","15.41","","0.94%"
"08/30/2024","15.27","15.36","15.36","14.99","","0.23%"
"08/29/2024","15.23","15.30","15.32","14.89","","-2.28%"
"08/28/2024","15.59","15.29","15.63","14.91","","0.86%"
"08/27/2024","15.46","15.55","15.64","15.38","","-1.31%"
"08/26/2024","15.66","15.76","15.77","15.19","","2.32%"
"08/23/2024","15.31","15.89","15.95","15.30","","-4.39%"
"08/22/2024","16.01","15.39","16.07","15.26","","3.46%"
"08/21/2024","15.48","15.62","15.78","15.02","","0.10%"
"08/20/2024","15.46","14.83","15.47","14.59","","3.64%"
"08/19/2024","14.92","15.39","15.61","14.77","","2.87%"
"08/16/2024","14.50","15.78","15.86","14.50","","-5.28%"
"08/15/2024","15.31","16.06","16.78","15.05","","-8.67%"
"08/14/2024","16.76","17.80","17.92","16.75","","-8.61%"
"08/13/2024","18.34","19.08","19.88","18.30","","-4.92%"
"08/12/2024","19.29","19.13","19.56","18.53","","-5.56%"
"08/09/2024","20.43","21.23","22.11","19.95","","-5.55%"
"08/08/2024","21.63","21.27","24.06","21.23","","4.25%"
"08/07/2024","20.75","25.24","25.25","20.49","","-17.23%"
"08/06/2024","25.07","30.49","30.49","24.43","","-19.57%"
"08/05/2024","31.17","29.51","40.87","29.51","","27.12%"
"08/02/2024","24.52","20.38","24.82","19.86","","35.32%"
"08/01/2024","18.12","16.02","18.46","16.01","","15.09%"
"07/31/2024","15.74","16.66","16.67","15.74","","-4.78%"
"07/30/2024","16.53","16.54","16.75","16.12","","-1.76%"
"07/29/2024","16.83","16.21","17.08","16.21","","4.23%"
"07/26/2024","16.15","16.74","16.82","16.02","","-4.63%"
"07/25/2024","16.93","17.39","18.36","16.90","","5.40%"
"07/24/2024","16.06","15.35","16.16","15.35","","8.50%"
"07/23/2024","14.80","15.30","15.47","14.80","","-5.65%"
"07/22/2024","15.69","16.33","16.37","15.55","","-5.04%"
"07/19/2024","16.52","16.32","16.88","15.88","","5.01%"
"07/18/2024","15.73","14.66","15.84","14.26","","8.16%"
"07/17/2024","14.55","14.03","15.18","13.72","","4.92%"
"07/16/2024","13.86","14.30","14.43","13.78","","2.00%"
"07/15/2024","13.59","13.70","13.82","13.08","","4.08%"
"07/12/2024","13.06","13.38","13.43","12.83","","-2.66%"
"07/11/2024","13.42","13.95","14.06","13.35","","-3.26%"
"07/10/2024","13.87","14.32","14.41","13.83","","-4.99%"
"07/09/2024","14.60","13.69","14.69","13.23","","9.81%"
"07/08/2024","13.29","14.14","14.14","13.12","","-7.86%"
"07/05/2024","14.43","14.37","15.21","14.13","","-1.31%"
