date,value
2024-09-26,99.35
2024-09-25,99.36
2024-09-24,99.37
2024-09-23,99.39
2024-09-20,99.43
2024-09-19,99.44
2024-09-18,99.45
2024-09-17,99.46
2024-09-16,99.48
2024-09-13,99.51
2024-09-12,99.52
2024-09-11,99.53
2024-09-10,99.55
2024-09-09,99.55
2024-09-06,99.58
2024-09-05,99.6
2024-09-04,99.62
2024-09-03,99.63
2024-09-02,99.65
2024-08-30,99.66
2024-08-29,99.67
2024-08-28,99.68
2024-08-27,99.69
2024-08-26,99.71
2024-08-23,99.75
2024-08-22,99.76
2024-08-21,99.77
2024-08-20,99.78
2024-08-19,99.79
2024-08-16,99.83
2024-08-15,99.84
2024-08-14,99.84
2024-08-13,99.83
2024-08-12,99.82
2024-08-09,99.81
2024-08-08,99.77
2024-08-07,99.31
2024-08-06,98.96
2024-08-05,98.57
2024-08-02,100.25
2024-08-01,100.51
2024-07-31,100.49
2024-07-30,100.49
2024-07-29,100.5
2024-07-26,100.54
2024-07-25,100.53
2024-07-24,100.55
2024-07-23,100.58
2024-07-22,100.58
2024-07-19,100.59
2024-07-18,100.63
2024-07-17,100.65
2024-07-16,100.67
2024-07-15,100.69
2024-07-12,100.73
2024-07-11,100.74
2024-07-10,100.74
2024-07-09,100.75
2024-07-08,100.76
2024-07-05,100.78
2024-07-04,100.79
2024-07-03,100.79
2024-07-02,100.77
2024-07-01,100.79
2024-06-28,100.76
2024-06-27,100.75
2024-06-26,100.77
2024-06-25,100.8
2024-06-24,100.83
2024-06-21,100.79
2024-06-20,100.87
2024-06-19,100.86
2024-06-18,100.85
2024-06-17,100.79
2024-06-14,100.83
2024-06-13,100.96
2024-06-11,100.98
2024-06-10,101.0
2024-06-07,101.03
2024-05-13,101.26
2024-04-18,101.01
2024-04-17,100.97
2024-04-16,100.96
2024-04-15,101.14
2024-04-12,101.15
2024-04-11,101.25
2024-04-10,101.35
2024-04-09,101.34
2024-04-08,101.3
2024-04-05,101.32
2024-04-04,101.49
2024-04-03,101.5
2024-04-02,101.53
2024-03-28,101.53
2024-03-27,101.53
2024-03-26,101.55
2024-03-25,101.54
2024-03-22,101.54
2024-03-21,101.45
2024-03-20,101.45
2024-03-19,101.45
2024-03-18,101.42
2024-03-15,101.41
2024-03-14,101.46
2024-03-13,101.55
2024-03-12,101.49
2024-03-11,101.51
2024-03-08,101.54
2024-03-07,101.41
2024-03-06,101.47
2024-03-05,101.53
2024-03-04,101.49
2024-03-01,101.51
2024-02-29,101.54
2024-02-28,101.59
2024-02-27,101.5
2024-02-23,101.58
2024-02-22,101.54
2024-02-21,101.52
2024-02-20,101.5
2024-02-19,101.45
2024-02-16,101.53
2024-02-15,101.5
2024-02-14,101.51
2024-02-13,101.62
2024-02-12,101.57
2024-02-09,101.62
2024-02-08,101.66
2024-02-07,101.69
2024-02-06,101.54
2024-02-05,101.59
2024-02-02,101.59
2024-02-01,101.69
2024-01-31,101.74
2024-01-30,101.76
2024-01-29,101.72
2024-01-26,101.75
2024-01-25,101.76
2024-01-24,101.61
2024-01-23,101.64
2024-01-22,101.58
2024-01-19,101.56
2024-01-18,101.45
2024-01-17,101.45
2024-01-16,101.68
2024-01-15,101.59
2024-01-12,101.61
2024-01-11,101.53
2024-01-10,101.42
2024-01-09,101.27
2024-01-08,101.26
2024-01-05,101.27
2024-01-04,101.16
2024-01-03,101.32
2023-12-29,101.39
2023-12-28,101.33
2023-12-27,101.46
2023-12-22,101.35
2023-12-21,101.31
2023-12-20,101.44
2023-12-19,101.46
2023-12-18,101.5
2023-12-15,101.52
2023-12-14,101.48
2023-12-13,101.44
2023-12-12,101.38
2023-12-11,101.28
2023-12-08,101.26
2023-12-07,101.12
2023-12-06,101.3
2023-12-05,101.25
2023-12-04,101.33
2023-12-01,101.27
2023-11-30,101.26
2023-11-29,101.28
2023-11-28,100.91
2023-11-27,101.11
2023-11-24,101.11
2023-11-23,101.1
2023-11-22,101.18
2023-11-21,101.11
2023-11-20,101.03
2023-11-17,101.07
2023-11-16,100.7
2023-11-15,100.79
2023-11-14,100.69
2023-11-13,100.2
2023-11-10,99.99
2023-11-09,100.35
2023-11-08,100.3
2023-11-07,100.01
2023-11-06,99.89
2023-11-03,99.97
2023-11-02,99.78
2023-11-01,99.2
2023-10-31,98.75
2023-10-30,98.52
2023-10-27,98.31
2023-10-26,98.61
2023-10-25,98.9
2023-10-24,98.77
2023-10-23,98.34
2023-10-20,98.3
2023-10-19,98.74
2023-10-18,99.16
2023-10-17,99.41
2023-10-16,99.69
2023-10-13,99.63
2023-10-12,100.03
2023-10-11,99.97
2023-10-10,99.91
2023-10-09,99.31
2023-10-06,99.13
2023-10-05,99.16
2023-10-04,99.08
2023-10-03,99.25
2023-10-02,99.51
2023-09-29,99.7
2023-09-28,99.39
2023-09-27,99.25
2023-09-26,98.93
2023-09-25,99.2
2023-09-22,99.04
2023-09-21,99.31
2023-09-20,99.53
2023-09-19,99.36
2023-09-18,99.3
2023-09-15,99.53
2023-09-14,99.45
2023-09-13,99.08
2023-09-12,99.16
2023-09-11,99.2
2023-09-08,99.02
2023-09-07,98.93
2023-09-06,98.99
2023-09-05,99.26
2023-09-04,99.2
2023-09-01,100.83
2023-08-31,100.77
2023-08-30,100.87
2023-08-29,100.55
2023-08-28,100.37
2023-08-25,99.95
2023-08-24,100.11
2023-08-23,100.21
2023-08-22,100.18
2023-08-21,99.94
2023-08-18,99.74
2023-08-17,99.95
2023-08-16,100.32
2023-08-15,100.31
2023-08-14,100.6
2023-08-11,100.49
2023-08-10,100.85
2023-08-09,100.63
2023-08-08,100.35
2023-08-07,98.95
2023-08-04,98.89
2023-08-03,98.78
2023-08-02,99.19
2023-07-31,99.82
2023-07-28,99.78
2023-07-27,99.8
2023-07-26,99.23
2023-07-25,99.49
2023-07-24,99.43
2023-07-21,99.48
2023-07-20,99.38
2023-07-19,99.55
2023-07-18,99.57
2023-07-17,99.43
2023-07-14,99.73
2023-07-13,99.6
2023-07-12,99.38
2023-07-11,99.03
2023-07-10,98.83
2023-03-31,99.43
2023-03-30,99.06
2023-03-29,98.62
2023-03-28,97.73
